Customer ID,Product Category,Satisfaction Score,Days for Delivery,customer service interaction,Purchase Amount,Customer Age,Gender
CUST0022,Electronics,7,8,No,89.71,25,Male
CUST0022,Books,7,3,Yes,178.39,52,Female
CUST0748,Home Goods,8,6,No,81.71,33,Other
CUST0244,Electronics,9,7,Yes,83.18,46,Other
CUST0684,Books,9,7,Yes,68.8,36,Male
CUST0799,Electronics,5,1,No,211.03,33,Female
CUST0467,Books,6,3,No,159.02,51,other
CUST0722,Home Goods,5,6,Yes,60.5,28,Male
CUST0722,Electronics,6,2,No,49.95,65,other
CUST0194,Home Goods,9,3,Yes,168.99,35,Male
CUST0865,Books,8,5,No,169.96,63,Male
CUST0681,Books,4,0,Yes,30.15,32,Female
CUST0440,Home Goods,10,6,Yes,150.73,30,Male
CUST0410,Home Goods,9,3,Yes,186.74,16,Male
CUST0900,Home Goods,4,6,No,69.73,29,Male
CUST0067,Books,4,5,Yes,41.39,22,male
CUST0465,Books,6,4,No,57.33,9,Female
CUST0359,Electronics,6,3,No,13.98,33,other
CUST0432,Clothing,9,4,No,70.24,26,Male
CUST0895,Books,7,2,No,94.68,65,Female
CUST0119,Books,6,5,No,86.13,18,Male
CUST0146,Home Goods,4,1,Yes,88.3,47,other
CUST0181,Electronics,3,5,No,93.26,38,Male
CUST0675,Books,9,7,Yes,157.13,53,Other
CUST0049,Clothing,10,5,No,171.46,47,Male
CUST0735,Clothing,9,10,Yes,166.85,53,Other
CUST0200,Home Goods,7,6,Yes,164.33,52,Male
CUST0298,Home Goods,8,6,No,66.23,52,Female
CUST0940,Clothing,3,6,No,111.02,30,Male
CUST0453,Clothing,3,5,Yes,99.99,39,Female
CUST0557,Books,8,6,No,231.68,24,Female
CUST0007,Electronics,4,9,No,114.81,19,other
CUST0191,Home Goods,7,2,No,120.17,21,Male
CUST0452,Clothing,5,6,No,140.99,16,Male
CUST0592,Books,2,7,Yes,127.71,28,other
CUST0929,Clothing,7,6,Yes,53.97,53,Female
CUST0630,Home Goods,7,5,Yes,188.51,35,Female
CUST0232,Books,8,3,No,0,25,other
CUST0282,Books,8,4,No,139,50,Female
